Date,City,Pincode,Item_Code,Item_Name,Brand,Product_Type,Unit,Unit_Value,Mrp,Image_Link,Blinkit_Product_Url,Blinkit_Product_Id,Blinkit_Item_Name,Blinkit_Uom,Blinkit_Mrp_Price,Blinkit_Selling_Price,Blinkit_Discount__,Blinkit_Eta_Mins_,Blinkit_In_Stock_Remark,Blinkit_Status,Blinkit_Partial,Blinkit_Factor,Jiomart_Product_Url,Jiomart_Product_Id,Jiomart_Item_Name,Jiomart_Uom,Jiomart_Mrp_Price,Jiomart_Selling_Price,Jiomart_Discount__,Jiomart_Eta_Mins_,Jiomart_In_Stock_Remark,Jiomart_Status,Jiomart_Partial,Jiomart_Factor,Dmart_Product_Url,Dmart_Product_Id,Dmart_Item_Name,Dmart_Uom,Dmart_Mrp_Price,Dmart_Selling_Price,Dmart_Discount__,Dmart_Eta_Mins_,Dmart_In_Stock_Remark,Dmart_Status,Dmart_Partial,Dmart_Factor
2026-04-14,Ranchi,834002,100,Chings ManChow Instant Soup 12g,Chings,Soup (Vegetable),g,12,10,https://storage.cloud.google.com/samaan-backend/product/product_320/1727124402-1723185706-100_1.webp,https://blinkit.com/prn/x/prid/581162,581162,Ching's Secret Manchow Instant Soup,NA,NA,NA,NA,NA,NA,Partial Match,anakin_seed,0.08333333333,https://www.jiomart.com/p/groceries/ching-s-secret-manchow-instant-soup-15-g/490993684,490993684,Ching's Secret Manchow Instant Soup 12 g,NA,NA,10,NA,NA,available,Complete Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,100012,Ganna Sugarcane Stick,NA,FnV,Unit,2,nan,NA,https://blinkit.com/prn/x/prid/369414,369414,Sugarcane (Ganna),NA,38.0,32.0,15.8,NA,out_of_stock,Complete Match,anakin_seed,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,100013,Bambino Rosetta Premium Pasta Spaghetti 500g,Bambino,Rosetta Spaghetti,g,500,189,https://storage.cloud.google.com/samaan-backend/product/product_69010/1736155259-100013_1.webp,NA,23757,Bambino Macaroni Durum Wheat Elbow Pasta (425 g),NA,NA,NA,NA,NA,NA,NA,cascade_brand,1,https://www.jiomart.com/p/groceries/bambino-rosetta-spaghetti-pasta-500-g/611262705,611262705,Bambino Rosetta Spaghetti Pasta 500 g,NA,NA,NA,NA,NA,NA,Complete Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,100026,Parle Milk Shakti Cookies 350g,Parle,Glucose Biscuits,Unit,350,89,https://storage.cloud.google.com/samaan-backend/product/product_69023/1733152049-100026_1.webp,https://blinkit.com/prn/x/prid/488652,488652,Parle Milk Shakti Biscuit,NA,90.0,48.0,46.7,NA,out_of_stock,Complete Match,anakin_seed,1,https://www.jiomart.com/p/groceries/parle-milk-shakti-biscuits-pack-of-2-350-g/591013480,591013480,Parle Milk Shakti Biscuits 350 g,NA,NA,45,NA,NA,available,Complete Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,100037,Chota Aloo / Baby Potato,NA,FnV,g,500,nan,NA,https://blinkit.com/prn/x/prid/4926,4926,Baby Potato (Aloo),NA,14.0,12.0,14.3,NA,available,Complete Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,100064,Amul Cheese Slices A+ 200 gm,Amul,Cheese,Unit,200,170,https://storage.cloud.google.com/samaan-backend/product/product_69061/1733152050-100064_1.webp,https://blinkit.com/prn/x/prid/547187,547187,Amul A+ Cheese Slices,NA,NA,NA,NA,NA,NA,Partial Match,anakin_seed,0.5,https://www.jiomart.com/p/groceries/amul-a-processed-cheese-slices-200-g-10-slices/609096965,609096965,Amul A+ Processed Cheese Slices 200 g (10 Slices),NA,NA,NA,NA,NA,NA,Complete Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,100085,Parle Rol-a-Cola 100g,Parle,Candies,g,100,28,https://storage.cloud.google.com/samaan-backend/product/product_69082/1733152051-100085_1.webp,https://blinkit.com/prn/x/prid/409781,409781,Parle Rol a Cola Candy,NA,28.0,23.0,17.9,NA,available,Complete Match,anakin_seed,1,https://www.jiomart.com/p/groceries/parle-rola-cola-cookies-150-g/590110137,590110137,Parle Rol . a . Cola Candy 100 g,NA,NA,26,NA,NA,available,Partial Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,10015,Kings Soyabean Oil Pouch | 750g | Pack of 1,King's,Soyabean Oil,g,750,140,https://storage.cloud.google.com/samaan-backend/product/product_2760/processed/1751029844-10015_3.webp,https://blinkit.com/prn/x/prid/61510,61510,King's Refined Soyabean Oil,NA,155.0,141.0,9.0,NA,available,Partial Match,anakin_seed,1,https://www.jiomart.com/p/groceries/king-s-refined-soyabean-oil-1-l-pouch/490563275,490563275,King's Smart Refined Soyabean Oil 750 g,NA,NA,700,NA,NA,available,Partial Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,10017,Mahakosh Soyabean Oil | 750g | Pack of 1,Mahakosh,Soyabean Oil,g,750,144,https://storage.cloud.google.com/samaan-backend/product/product_2761/processed/1747920099-Screenshot_2025-05-22_at_6.51.01PM.webp,https://blinkit.com/prn/x/prid/18585,18585,Mahakosh Refined Soyabean Oil,NA,183.0,149.0,18.6,NA,available,Complete Match,anakin_seed,1,https://www.jiomart.com/p/groceries/mahakosh-refined-soyabean-oil-750-g-pouch/612284599,612284599,Mahakosh Refined Soyabean Oil 750 g (Pouch),NA,NA,700,NA,NA,available,Complete Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-14,Ranchi,834002,100200,Cetaphil Gentle Skin Cleanser for Sensitive Skin 250ml,Cetaphil,Face Cleanser,ml,250,769,https://storage.cloud.google.com/samaan-backend/product/product_69197/1733486139-100200_1.webp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,https://www.jiomart.com/p/groceries/cetaphil-cream-face-wash-cleanser-for-sensitive-skin-250-ml/596142894,596142894,"Cetaphil Face Wash by Cetaphil, Gentle Skin Cleanser for Dry to Normal, Sensitive Skin - 250 ml",NA,NA,692,NA,NA,available,Complete Match,anakin_seed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
